time,open,high,low,close,volume,timestamp
2018-01-02 00:00:00,8.45000000,8.65990000,8.09220000,8.42440000,487297.25000000,1514851200000
2018-01-02 12:00:00,8.44060000,9.11330000,8.23330000,8.71500000,775336.17000000,1514894400000
2018-01-03 00:00:00,8.71510000,8.85000000,8.26530000,8.59940000,440512.47000000,1514937600000
2018-01-03 12:00:00,8.59900000,9.46970000,8.50000000,9.30400000,506880.18000000,1514980800000
2018-01-04 00:00:00,9.30400000,9.46000000,8.55950000,8.95420000,491849.16000000,1515024000000
2018-01-04 12:00:00,8.96000000,9.65110000,8.75000000,9.14300000,472645.78000000,1515067200000
2018-01-05 00:00:00,9.13500000,12.73790000,8.96510000,12.73790000,1093761.22000000,1515110400000
2018-01-05 12:00:00,12.73790000,16.81720000,11.00000000,14.89080000,1671215.82000000,1515153600000
2018-01-06 00:00:00,14.89080000,19.50000000,14.69990000,16.12000000,1412177.73000000,1515196800000
2018-01-06 12:00:00,16.10030000,23.60000000,15.88000000,22.60000000,1718309.49000000,1515240000000
2018-01-07 00:00:00,22.60000000,22.65990000,19.00000000,21.99800000,909676.39000000,1515283200000
2018-01-07 12:00:00,21.99800000,22.10000000,18.05000000,18.59400000,634088.10000000,1515326400000
2018-01-08 00:00:00,18.53750000,19.09000000,16.50030000,17.91070000,808943.91000000,1515369600000
2018-01-08 12:00:00,17.82580000,19.29990000,14.00180000,17.99710000,1303121.31000000,1515412800000
2018-01-09 00:00:00,18.04000000,20.61140000,17.22490000,18.33990000,752984.52000000,1515456000000
2018-01-09 12:00:00,18.33990000,18.34950000,16.43500000,17.39900000,556293.43000000,1515499200000
2018-01-10 00:00:00,17.39920000,17.55540000,14.60040000,16.30000000,724889.81000000,1515542400000
2018-01-10 12:00:00,16.30000000,17.50000000,15.00010000,17.50000000,447761.34000000,1515585600000
2018-01-11 00:00:00,17.50000000,19.19900000,13.66000000,19.19900000,1424090.94000000,1515628800000
2018-01-11 12:00:00,19.19900000,23.10790000,17.81700000,21.20240000,2118275.89000000,1515672000000
2018-01-12 00:00:00,21.10220000,25.18000000,19.10000000,21.35000000,1988415.73000000,1515715200000
2018-01-12 12:00:00,21.35000000,23.67520000,20.41080000,22.19990000,913922.64000000,1515758400000
2018-01-13 00:00:00,22.19990000,22.90000000,21.04000000,22.62800000,519597.69000000,1515801600000
2018-01-13 12:00:00,22.62800000,23.49980000,21.39990000,22.02460000,560858.02000000,1515844800000
2018-01-14 00:00:00,22.02520000,22.10000000,19.70000000,19.99890000,531831.00000000,1515888000000
2018-01-14 12:00:00,19.90010000,20.90000000,18.21000000,20.45410000,852252.33000000,1515931200000
2018-01-15 00:00:00,20.45460000,23.23100000,19.40570000,20.65400000,1274185.42000000,1515974400000
2018-01-15 12:00:00,20.65000000,21.13990000,19.01130000,19.33960000,1014371.35000000,1516017600000
2018-01-16 00:00:00,19.43760000,19.44750000,9.89000000,16.07000000,4897877.70000000,1516060800000
2018-01-16 12:00:00,16.00000000,16.11610000,10.20000000,13.19960000,5035553.75000000,1516104000000
2018-01-17 00:00:00,13.02620000,14.37000000,10.82020000,11.42000000,4239086.26000000,1516147200000
2018-01-17 12:00:00,11.42000000,15.70000000,9.40010000,14.19980000,5732610.91000000,1516190400000
2018-01-18 00:00:00,14.11910000,15.90000000,13.02030000,14.75010000,4062320.28000000,1516233600000
2018-01-18 12:00:00,14.74990000,15.68010000,13.34200000,14.13970000,2636932.09000000,1516276800000
2018-01-19 00:00:00,14.04050000,15.15010000,13.50100000,15.05120000,1856439.69000000,1516320000000
2018-01-19 12:00:00,15.05120000,15.47990000,14.30100000,14.94470000,1147630.48000000,1516363200000
2018-01-20 00:00:00,14.94470000,16.31980000,14.82490000,15.52130000,1605074.68000000,1516406400000
2018-01-20 12:00:00,15.52430000,16.68000000,15.35100000,16.17120000,1012065.65000000,1516449600000
2018-01-21 00:00:00,16.16020000,16.26000000,13.41200000,14.93440000,1823374.37000000,1516492800000
2018-01-21 12:00:00,14.93450000,15.10000000,13.03390000,14.13340000,1494988.97000000,1516536000000
2018-01-22 00:00:00,14.13340000,14.49780000,13.41200000,13.43100000,930940.08000000,1516579200000
2018-01-22 12:00:00,13.42020000,13.55000000,11.61010000,12.91000000,1942250.75000000,1516622400000
2018-01-23 00:00:00,12.91490000,13.10000000,11.63700000,11.99000000,745263.77000000,1516665600000
2018-01-23 12:00:00,11.96000000,13.90000000,11.69960000,13.10220000,1590568.19000000,1516708800000
2018-01-24 00:00:00,13.14940000,13.65780000,12.60000000,13.60000000,863318.45000000,1516752000000
2018-01-24 12:00:00,13.60000000,14.30000000,13.17950000,13.80000000,1083868.31000000,1516795200000
2018-01-25 00:00:00,13.79980000,14.15160000,13.35750000,13.40250000,890188.18000000,1516838400000
2018-01-25 12:00:00,13.40250000,13.46120000,13.01000000,13.19050000,537454.87000000,1516881600000
2018-01-26 00:00:00,13.19050000,13.59890000,12.01000000,12.38000000,1034413.90000000,1516924800000
2018-01-26 12:00:00,12.40980000,13.44000000,12.26000000,13.13440000,754431.66000000,1516968000000
2018-01-27 00:00:00,13.16900000,13.39300000,12.85000000,13.03000000,447408.07000000,1517011200000
2018-01-27 12:00:00,13.03000000,13.55100000,12.94760000,13.39940000,545470.32000000,1517054400000
2018-01-28 00:00:00,13.39910000,13.98000000,13.30000000,13.76000000,793143.55000000,1517097600000
2018-01-28 12:00:00,13.76000000,14.02350000,13.54350000,13.77390000,584258.35000000,1517140800000
2018-01-29 00:00:00,13.77390000,13.87000000,12.86000000,12.98340000,586295.05000000,1517184000000
2018-01-29 12:00:00,12.98290000,13.19000000,12.73900000,12.81500000,271658.16000000,1517227200000
2018-01-30 00:00:00,12.82950000,12.98000000,12.23000000,12.47000000,428417.57000000,1517270400000
2018-01-30 12:00:00,12.48980000,12.58440000,11.11000000,11.47490000,894121.99000000,1517313600000
2018-01-31 00:00:00,11.46000000,11.54830000,10.75000000,11.23530000,590027.16000000,1517356800000
2018-01-31 12:00:00,11.23530000,11.36600000,10.55300000,11.31310000,357088.32000000,1517400000000
2018-02-01 00:00:00,11.31310000,11.45000000,9.67000000,9.89670000,873894.94000000,1517443200000
